Frequency_Hz,Frequency_GHz,Er,h_mm,W_mm,L_mm,Leff_mm,dL_mm,eps_eff,G1_S,G12_S,Rin_edge_Ohm,Feed_W_mm,Feed_L_mm,Ground_L_mm,Ground_W_mm,min_S11_dB(theoretical)
28000000000,28,4.4,1.6,3.257997854,1.663622966,2.925987572,0.631182303,3.34749855,0.000969285,0.000474159,346.3935827,3.058974983,0.731496893,11.26362297,12.85799785,-2.525156372
28500000000,28.5,4.4,1.6,3.200839996,1.617837572,2.876754962,0.629458695,3.342611883,0.000969285,0.000473552,346.5392684,3.058974983,0.719188741,11.21783757,12.80084,-2.524079784
29000000000,29,4.4,1.6,3.1456531,1.573678422,2.829178367,0.627749973,3.33783421,0.000969285,0.000472958,346.6821624,3.058974983,0.707294592,11.17367842,12.7456531,-2.523024725
29500000000,29.5,4.4,1.6,3.092336946,1.531062988,2.783174972,0.626055992,3.33316154,0.000969285,0.000472375,346.8223557,3.058974983,0.695793743,11.13106299,12.69233695,-2.521990469
30000000000,30,4.4,1.6,3.040797997,1.489914204,2.738667419,0.624376608,3.328590081,0.000969285,0.000471803,346.9599351,3.058974983,0.684666855,11.0899142,12.640798,-2.520976326
30500000000,30.5,4.4,1.6,2.990948849,1.450160014,2.695583364,0.622711675,3.324116232,0.000969285,0.000471242,347.0949836,3.058974983,0.673895841,11.05016001,12.59094885,-2.519981638
31000000000,31,4.4,1.6,2.942707739,1.411732976,2.653855072,0.621061048,3.319736569,0.000969285,0.000470692,347.2275804,3.058974983,0.663463768,11.01173298,12.54270774,-2.519005776
31500000000,31.5,4.4,1.6,2.895998092,1.374569898,2.61341906,0.619424581,3.315447831,0.000969285,0.000470152,347.3578014,3.058974983,0.653354765,10.9745699,12.49599809,-2.51804814
32000000000,32,4.4,1.6,2.850748122,1.338611506,2.574215764,0.617802129,3.311246915,0.000969285,0.000469623,347.4857188,3.058974983,0.643553941,10.93861151,12.45074812,-2.517108158
32500000000,32.5,4.4,1.6,2.806890458,1.30380215,2.536189242,0.616193546,3.307130866,0.000969285,0.000469102,347.6114021,3.058974983,0.63404731,10.90380215,12.40689046,-2.516185281
33000000000,33,4.4,1.6,2.764361815,1.270089526,2.499286899,0.614598686,3.303096863,0.000969285,0.000468591,347.7349176,3.058974983,0.624821725,10.87008953,12.36436182,-2.515278985
33500000000,33.5,4.4,1.6,2.723102684,1.237424432,2.463459244,0.613017406,3.299142216,0.000969285,0.00046809,347.856329,3.058974983,0.615864811,10.83742443,12.32310268,-2.51438877
34000000000,34,4.4,1.6,2.683057056,1.205760541,2.428659663,0.611449561,3.295264357,0.000969285,0.000467596,347.9756971,3.058974983,0.607164916,10.80576054,12.28305706,-2.513514153
34500000000,34.5,4.4,1.6,2.644172171,1.175054193,2.394844208,0.609895007,3.291460834,0.000969285,0.000467112,348.0930806,3.058974983,0.598711052,10.77505419,12.24417217,-2.512654676
35000000000,35,4.4,1.6,2.606398283,1.145264208,2.361971412,0.608353602,3.2877293,0.000969285,0.000466636,348.2085355,3.058974983,0.590492853,10.74526421,12.20639828,-2.511809897
35500000000,35.5,4.4,1.6,2.569688448,1.116351709,2.330002118,0.606825205,3.284067513,0.000969285,0.000466167,348.3221158,3.058974983,0.58250053,10.71635171,12.16968845,-2.510979393
36000000000,36,4.4,1.6,2.533998331,1.088279969,2.298899316,0.605309673,3.280473328,0.000969285,0.000465707,348.4338732,3.058974983,0.574724829,10.68827997,12.13399833,-2.510162757
36500000000,36.5,4.4,1.6,2.499286025,1.06101426,2.268627997,0.603806868,3.276944689,0.000969285,0.000465254,348.5438574,3.058974983,0.567156999,10.66101426,12.09928602,-2.5093596
37000000000,37,4.4,1.6,2.465511889,1.034521721,2.239155023,0.602316651,3.273479628,0.000969285,0.000464809,348.6521163,3.058974983,0.559788756,10.63452172,12.06551189,-2.508569547
37500000000,37.5,4.4,1.6,2.432638397,1.008771234,2.210449,0.600838883,3.270076259,0.000969285,0.000464371,348.758696,3.058974983,0.55261225,10.60877123,12.0326384,-2.507792238
38000000000,38,4.4,1.6,2.400629997,0.98373331,2.182480168,0.599373429,3.266732772,0.000969285,0.000463939,348.8636407,3.058974983,0.545620042,10.58373331,12.00063,-2.507027328
38500000000,38.5,4.4,1.6,2.369452984,0.959379986,2.15522029,0.597920152,3.263447432,0.000969285,0.000463515,348.9669931,3.058974983,0.538805073,10.55937999,11.96945298,-2.506274482
39000000000,39,4.4,1.6,2.339075382,0.935684724,2.128642563,0.596478919,3.260218572,0.000969285,0.000463097,349.0687942,3.058974983,0.532160641,10.53568472,11.93907538,-2.505533382
